article_id,mt5_summary,llama3_reason,gemma2_reason,qwen_reason,llama3_error,gemma2_error,qwen_error,final_error_type,votes_faithful,final_verdict,status
news-49956427,বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় বা বুয়েটে একজন ছাত্রকে পিটিয়ে হত্যা করার ঘটনায় চকবাজার থানায় আরো ১৯ জনকে গ্রেফতার করেছে পুলিশ।,,"The report states that 19 people are listed as accused, but does not confirm if they were recently arrested.",All claims are supported by the provided reason.,None,Missing Info,None,None,2,True,Faithful
news-44672332,বিশ্বকাপ ফুটবলের নকআউট পর্বের প্রথম দিনে আর্জেন্টিনা ও পর্তুগালের কাছে হেরে গেলেন ক্রিশ্চিয়ানো রোনালদো ও লিওনেল মেসি।,The text does not support the claim that Cristiano Ronaldo played for Portugal or Lionel Messi played for Argentina in the knockout stage of the World Cup.,All claims were supported by the provided text.,"The report states that the claim is supported by the given reason, which matches the claim about Christiano Ronaldo and Lionel Messi's teams losing on the first day of the World Cup knockout round.",Contradiction,None,None,None,2,True,Faithful
news-48904836,"বাংলাদেশে শিশু ধর্ষণের ঘটনায় পুলিশের গ্রেফতারের পর হত্যা করা হয়েছে সাত বছর বয়সী এক তরুণকে, কিন্তু এধরণের ঘটনাকে কেউই সেভাবে আমলে নেন না বলে মন্তব্য করেছেন শি",,"The report states a girl was murdered, not a boy.",Both claims are supported by the provided reasons.,None,Entity,None,None,2,True,Faithful
160530_indian_visa_new_system,বাংলাদেশের ট্যুরিস্ট ভিসার আবেদন গ্রহণের জন্য বর্তমান ব্যবস্থায় সাক্ষাতের তারিখ বা ই-টোকেন নির্ধারণ করার নির্দেশনা দিয়েছে ঢাকার ভারতীয় হাইকমিশন।,,All claims are marked as 'Supported',All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-52621715,করোনাভাইরাস মহামারির কারণে ভারতের বেশ কয়েকটি রাজ্য তাদের শ্রম আইনে নানা পরিবর্তন এনেছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-55467465,"মুম্বাই মিরর পত্রিকার একজন লেখক যৌন বিশেষজ্ঞকে জিজ্ঞেস করার জন্য একটি কলাম লিখেছেন। তার মৃত্যুর পর তার সন্তানদের পক্ষ থেকে এক বিবৃতিতে বলা হয়েছে, ""তিনি এক গৌর",Claim 2 is Not Supported,"The report states the author is Dr. Mahindara Watsa, but claims the author interviewed a sexologist.",Both claims are not supported by the provided report.,Not Supported,Entity,Other,Entity,0,False,Hallucinated
160605_chittaggong_sp_wife_killed,বাংলাদেশের চট্টগ্রামে পুলিশ সুপার বাবুল আক্তারের স্ত্রী গুলি করে হত্যা করা হয়েছে।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-40867894,যুক্তরাষ্ট্রের একটি সংবাদ মাধ্যমে এক নারী সাংবাদিকের পিরিয়ড হয়েছে।,"The article does not mention any journalist in the United States being arrested, contradicting the claim.",The report states the claim is not supported because the journalist's location is not mentioned.,The report mentions that the status is not supported due to discrepancies in the source and the nature of the information provided.,Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-45387880,যুক্তরাষ্ট্রের প্রেসিডেন্ট ডোনাল্ড ট্রাম্প পাকিস্তানের সাথে প্রতারণা করার অভিযোগ অস্বীকার করেছে।,The text does not mention President Donald Trump denying any allegations of conspiracy with Pakistan.,"The claim states Trump denies allegations, but the provided text does not support this.",The report incorrectly attributes the denial to Donald Trump instead of the US.,Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-48795028,১৯৬৯ সালের ২৭ জুন হন্ডুরাস এবং এল সালভেডর-এর মধ্যে একটি ম্যাচ ড্র হয়েছিল।,,The report states the text does not mention the result of the match.,"The report indicates that the claim about the match ending in a draw on June 27, 1969 is not supported because the article does not confirm this specific detail.",None,Missing Info,Date/Time,Missing Info,1,False,Hallucinated
news-45007894,বাংলাদেশের দক্ষিণাঞ্চলীয় রাজশাহী এবং সিটি কর্পোরেশনের নির্বাচনে বিরোধী দল বিএনপির প্রার্থীরা নির্বাচন বর্জন করেছেন।,,"The report states that BNP candidates boycotted elections in Barisal, not Rajshahi and the city corporation in southern Bangladesh as claimed.","The report incorrectly includes Rajshahi as an area where BNP candidates boycotted elections, which is not supported by the original text.",None,Entity,Entity,Entity,1,False,Hallucinated
news-44118154,লিবিয়ায় কোস্টগার্ড অভিযান চালিয়ে নৌকা ভর্তি নাইজেরিয়ার নাগরিকদের আটক করেছে আন্তর্জাতিক অভিবাসন সংস্থা।,The text does not mention the International Organization for Migration (IOM) arresting Nigerian citizens on a coastguard operation in Libya.,All claims are supported.,All claims are supported by the provided reason.,Contradiction,None,None,None,2,True,Faithful
news-44842983,২০১৮ সালের বিশ্বকাপ ফুটবলের সেমিফাইনাল হতে যাচ্ছে ব্রাজিল আর আর্জেন্টিনা।,The text does not mention Brazil and Argentina playing in the semi-finals of the 2018 World Cup.,"The claim refers to the 2018 World Cup, but the report mentions Argentina's success in the 2014 World Cup.","The report claims that Brazil and Argentina played in the semifinals of the 2018 FIFA World Cup, but this is not supported by the given information.",Contradiction,Date/Time,Entity,Contradiction,0,False,Hallucinated
news-48808226,বিশ্বের বিভিন্ন দেশের তাপমাত্রা রেকর্ড করেছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-52829564,বাংলাদেশে করোনাভাইরাস সংক্রমণ ছড়িয়ে পড়ার পর থেকেই চিকিৎসা নেবার ক্ষেত্রে নানা ধরণের পদক্ষেপ নেয়া হচ্ছে।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-45744692,ক্রিস্টিয়ানো রোনালদোর বিরুদ্ধে ধর্ষণের অভিযোগ অস্বীকার করেছেন তার আইনজীবি।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-57063900,চীনের বার্ষিক জনসংখ্যা গত ১০ বছরের মধ্যে সবচাইতে ধীরগতিতে বাড়ছে।,"The article states that China's population has been growing at a rate of 0.53% per year over the past 10 years, which is slower than the rate of 0.57% from 2000 to 2010.",All claims are supported.,All claims are supported by the provided reason.,Contradiction,None,None,None,2,True,Faithful
news-55761742,করোনাভাইরাসের সংক্রমণ ছড়িয়ে পড়া ঠেকাতে চীনের উহান শহরকে লকডাউন করা হয়েছিল এক বছর আগে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-46797204,পারস্য উপসাগরের এই রক্ষণশীল রাজতন্ত্রের মাধ্যমে সৌদি আরব নারীদের ওপর সব ধরনের বৈষম্য দূর করা হয়েছে।,"The report claims that Saudi Arabia has eliminated all forms of discrimination against women in the Gulf region, but the status is 'Not Supported' due to the presence of contradictory information.","The claim states that Saudi Arabia has eliminated all forms of discrimination against women, but the report indicates that many restrictions still exist.","The claim refers to a specific condition in Saudi Arabia, which is contradicted by the report indicating that many types of discriminatory laws still exist against women.",Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-47648503,"নিউজিল্যান্ডের প্রধানমন্ত্রী জাসিন্ডা আরডের্ন জানিয়েছেন, দেশটিতে সামরিক কায়দার সেমি-অটোমেটিকের (এমএসএসএ) এবং অ্যাসল্ট রাইফেলের ওপর নিষেধাজ্ঞা ঘোষণা করেছেন।",,All claims are supported.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-39614808,বাংলাদেশে বিরোধী দল বিএনপির প্রেস-সচিব মারুফ কামাল খানের স্ত্রী তানিয়া খান মারা গেছেন।,,All claims are supported by the verification report.,All claims are supported by the provided information.,None,None,None,None,3,True,Faithful
news-48324350,দক্ষিণ আফ্রিকায় গিয়ে একটি অনুষ্ঠানে যোগ দিয়েছিলেন হলিউড তারকা ও ক্যালিফোর্নিয়ার সাবেক গভর্নর আর্নল্ড শোয়ার্জনেগার।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-51264653,আফগানিস্তানের গজনিতে একটি বিমান বিধ্বস্ত হয়েছে বলে স্থানীয় কর্মকর্তারা জানিয়েছেন।,,All claims are supported.,The location claimed as 'mathematics area' is actually 'guzani' district in Kabul.,None,None,Entity,None,2,True,Faithful
160418_traficked_bangladeshi_women_unlawfully_kept_in_indian_jails,ভারতের রাজমিস্ত্রির জোগাড়ের কাজ করার উদ্দেশে সীমান্ত পেরোনোর পর আটক হওয়া তিনজন বাংলাদেশী নারী-শিশুর বিরুদ্ধে ফরেনার্স অ্যাক্টে মামলা দাবি করেছেন পশ্চিমবঙ্গ পু,,The report states that the reason for crossing the border is not mentioned.,Both claims are not supported by the provided information.,None,Missing Info,Other,Missing Info,1,False,Hallucinated
news-40319155,গত কয়েক বছরে কাতার ও তুরস্কের সম্পর্কে যে উন্নতি হয়েছে তার প্রকাশ ঘটেছে।,,All claims are supported.,All claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-56931107,ভারতে করোনাভাইরাসের টিকা সংগ্রহের কর্মসূচি একশো দিন যেতে না-যেতেই কার্যত মুখ থুবড়ে পড়েছে।,JSON Parse Error,All claims are supported.,The report does not contain any claims to verify.,Parse Error,None,None,None,2,True,Faithful
news-52518908,বাংলাদেশের কক্সবাজার উপকূল থেকে রোহিঙ্গাদের একটি দলকে উদ্ধার করে ভাসানচরে স্থানান্তর করা হয়েছে।,,All claims are supported by the provided text.,"The claim states the group was relocated to Bhutan, but the report indicates the relocation happened within Bangladesh.",None,None,Location,None,2,True,Faithful
news-47766524,বাংলাদেশের রাজধানী ঢাকার বনানীতে এফআর টাওয়ারে আগুন লাগার পর আতংকিত হয়ে অনেকেই ভবনটি থেকে বেরিয়ে আসেন।,,All claims are marked as 'Supported',"The report does not specify that the fire incident occurred at the FBR Tower in Banani, Dhaka.",None,None,Entity,None,2,True,Faithful
news-46066573,'প্রাণীরা কোন উপাদান নয়' এমন ফ্রান্সে সম্প্রতি একটি শ্লোগান ব্যবহার করছেন নিরামিষ ভোগীরা।,,All claims are supported.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-55308586,বাংলাদেশে আশ্রয় নেয়া রোহিঙ্গাদের একটি অংশকে ভাসানচরে স্থানান্তরের সরকারি পদক্ষেপের বিরুদ্ধে অবস্থান নিয়েছে বিরোধী দল বিএনপি।,,All claims are supported.,All claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-54108787,বিশ্ব স্বাস্থ্য সংস্থার এক গবেষণার অংশ হিসেবে বাংলাদেশে ট্রান্সফ্যাটজনিত হৃদরোগে আক্রান্ত হয়ে মৃত্যুর প্রায় দুই তৃতীয়াংশই হয় ঢাকার মীরবাগ এলাকার নাজনীন সাফিয়া।,"The text does not support this claim. The text mentions that'                   (     )                             (     )                   'which suggests that a significant portion of transfusion-related heart disease cases are found in the top echelons of the PHWO (Parshially Hydrogenated Oil) brands, but there is no mention of the Mirbag area of Dhaka specifically.",The report states the claim is not supported because the text does not mention this information.,The report mentions a specific person (Naznin Safia) which is not supported by the provided information.,Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-47078843,সৌদি আরব থেকে পালিয়ে আসা অনেক নারী এখন যুক্তরাজ্যে আশ্রয় নিচ্ছেন।,"The claim 'Many women from Saudi Arabia are fleeing to the UK' contradicts the supporting information 'Many women from Saudi Arabia are fleeing to Australia, Canada, or Europe', which mentions the UK is not one of the destinations.",All claims are supported.,All claims are supported by the provided reason.,Contradiction,None,None,None,2,True,Faithful
news-50209401,বাংলাদেশ ক্রিকেট বোর্ড ও সাকিব আল হাসান ভারতের বিপক্ষে সিরিজের প্রথম ম্যাচের জন্য কারণ দর্শাও নোটিস পাঠিয়েছিলেন।,The text does not mention the Bangladesh Cricket Board and Shakib Al Hasan notifying the reason for the first match of the series against India.,All claims are supported.,"The report mentions the exclusion of Shakib Al Hasan rather than his inclusion, contradicting the claim.",Contradiction,None,Entity,Contradiction,1,False,Hallucinated
news-48263085,শ্রীলংকার উত্তর-পশ্চিমে একটি মসজিদের দরজা ভাংচুর করেছে আক্রমণকারীরা।,,All claims are supported by the provided verification report.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
151109_pg_global_temperature_new_record,"বিজ্ঞানীরা বলছেন, এ বছরের শেষ নাগাদ পৃথিবীর তাপমাত্রা তার চেয়ে এক ডিগ্রিরও বেশি বাড়বে।",,All claims are supported.,"The report states that the claim is supported, hence no error category applies.",None,None,None,None,3,True,Faithful
news-48079702,বাংলাদেশে জামায়াতে ইসলামীর সংস্কারপন্থীদের একটি নতুন রাজনৈতিক দল গঠনের প্রক্রিয়া শুরু হয়েছে।,,All claims are supported by the provided verification report.,"The report claims a new political party is forming, but the text indicates it's actually a new group within Jamaat-e-Islami.",None,None,Entity,None,2,True,Faithful
news-53373932,বাংলাদেশে এ পর্যন্ত দুই হাজার ৩০৫ জনের করোনাভাইরাসে আক্রান্ত হয়ে মৃত্যু হয়েছে।,,All claims are supported.,All claims are supported and there is no contradiction or missing information.,None,None,None,None,3,True,Faithful
news-55002738,যুক্তরাষ্ট্রের পররাষ্ট্রমন্ত্রী হিসেবে জো বাইডেনকে বেছে নেয়া হচ্ছে।,The text does not mention Joe Biden being chosen as the Secretary of State of the United States.,"The report states that Antony Blinken will be the US Secretary of State, contradicting the claim about Joe Biden.",The report mentions that Joe Biden will consult for foreign policy advice but does not support the claim that he will be chosen as the US vice president.,Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-48366795,সাহিত্যে নোবেল পুরস্কার পেয়েছেন ওমানের লেখক জোখা আলহারথি।,The text does not mention Jokha Alharthi winning the Nobel Prize in Literature.,"The claim states she won the Nobel Prize in Literature, but the report says she won the Man Booker Prize.","The report incorrectly claims that Jocko Alharthi won the Nobel Prize in Literature, when in fact he won the Man Booker prize for his novel 'Celestial Body'.",Contradiction,Other,Entity,Contradiction,0,False,Hallucinated
news-51961180,"ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদী বলেছেন, করোনাভাইরাসের মোকাবিলায় রবিবার ২২শে মার্চ সারা দেশে 'জনতা কারফিউ' চালু হবে।",,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-51697733,'শিশুদের পরিত্যাগ করা নিষিদ্ধ।',,All claims are supported.,All claims are supported and there is no contradiction or missing information.,None,None,None,None,3,True,Faithful
news-43779660,কমনওয়েলথের আওতাভুক্ত দেশগুলোয় মানুষের সংখ্যা প্রায় দুই কোটি। কিন্তু তারা কিভাবে রয়েছে? ১. জনসংখ্যা,The report does not provide information about the location of the people under Commonwealth jurisdiction.,All claims are marked as 'Supported',"The claim states 'nearly two hundred million' while the verification report indicates the actual number is closer to 256 million, thus contradicting the claim.",Missing Info,None,Number,Missing Info,1,False,Hallucinated
news-40996003,আজ রানী এলিজাবেথ টাওয়ার থেকে শোনা যাবে 'বিগ বেন' ঘড়ির ঘন্টাধ্বনি।,"The report states that Elizabeth Tower will not be ringing the Big Ben's hour bell today, which contradicts the original claim.",All claims are supported.,"The report indicates that the claim is not supported because it suggests the chimes can be heard 'today', whereas the text specifies they will only be heard 'today at noon' for the last time.",Contradiction,None,Date/Time,Contradiction,1,False,Hallucinated
news-44063966,ব্রিটেনের নির্বাচনে সাবেক প্রধানমন্ত্রী মাহাথির মোহাম্মদ জয় পেয়েছেন।,The text does not mention Mahathir Mohamad winning an election in the UK.,"The claim mentions an election in Britain, but the provided context relates to Malaysia's independence from Britain.","The claim refers to Mahathir Mohamad winning a British election, which is not mentioned in the provided report.",Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-54140628,দক্ষিণ আমেরিকার রন্ডনিয়া প্রদেশে একটি ছোট শহরের এক কৃষি ফার্মের কাছে ক্যাম্পি গিয়েছিলেন।,,All claims are supported.,"The report mentions a farmer visiting a camp, but the article describes an encounter with a different individual.",None,None,Entity,None,2,True,Faithful
news-50207082,বাংলাদেশ থেকে অবৈধভাবে বিদেশে যাওয়া শ্রমিকদের একটি বড় অংশ মৃত্যুর ঝুঁকি নিয়ে 'বডি কন্ট্রাক্ট' বা শরীর চুক্তি ছাড়া।,,"The report states that 'body contracts' are used for illegal migration, contradicting the claim that a large portion of workers migrate without them.",All claims are supported by the provided reason.,None,Other,None,None,2,True,Faithful
news-52717893,বাংলাদেশের আবহাওয়া অধিদপ্তর জানিয়েছে যে ঘূর্ণিঝড় আম্পান বাংলাদেশ উপকূল অতিক্রম করতে পারে।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
151030_bd_paira_port,বাংলাদেশের পটুয়াখালি জেলার রাবনাবাদ চ্যানেলে নতুন একটি সমুদ্রবন্দর গড়ে তোলা হচ্ছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-37304627,বাংলাদেশে ঈদকে সামনে রেখে জাল টাকা বাজারে ছড়িয়ে দেয়ার চেষ্টা করছে বলে অভিযোগ করেছে র ্যাব।,,All claims are supported.,"The report mentions an accusation involving Rab, but this claim is not supported by the provided text which does not contain any reference to Rab or such an attempt.",None,None,Entity,None,2,True,Faithful
news-41897316,মার্কিন প্রেসিডেন্ট নির্বাচনের প্রচারণার সময় থেকেই ডোনাল্ড ট্রাম্পের কন্যা রয়েছেন আলোচনায়।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-41759180,রেবেকা ব্রাউন যুক্তরাজ্যের একটি স্কুলের ছাত্র।,The text does not provide sufficient information to verify this claim.,The report states the text does not mention Rebecca Brown attending a school.,The report states that the claim about Rebecca Brown being a student at a school in the United Kingdom is not supported by the text.,Missing Info,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-51233805,"ইন্দোনেশিয়ার সমুদ্র সৈকত থেকে বন্ধুর সাথে মাছ ধরতে গিয়েছিলেন মুহম্মদ ইদুল, তখন একটি মাছের ধাক্কায় তার ঘাড়ে আঘাত করে তার সুঁচালো ঠোঁট ঢুকিয়ে",,The report contains factual discrepancies between the claims and the original text.,Both claims are supported by the provided reasons.,None,Other,None,None,2,True,Faithful
news-46354209,রাশিয়া ইউক্রেনের নৌবাহিনীর তিনটি জাহাজ আটকের পর দু'দেশের মধ্যে এখন তীব্র উত্তেজনা বিরাজ করছে।,,All claims are supported by the provided evidence.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
151209_anti_corruption_day,"দুর্নীতি বিরোধী আন্তর্জাতিক সংস্থা টিআইবি বলছে, বাংলাদেশে দুর্নৈতিক অপরাধের ক্ষেত্রে সরকারের যে প্রত্যাশা পূরণ করতে পেরেছে তা বলা যাবে না।",,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-40769203,ভারতের পশ্চিমবঙ্গের আওরঙ্গাবাদ শহরে বুকের দুধ খাওয়ানোর ছবি দিয়ে বিতর্কিত লেখিকা তসলিমা নাসরিন মুম্বই থেকে ফিরে গেছেন।,"The article mentions that Taslima Nasreen returned to India from Sweden, not Bangladesh.",All claims in the report are marked as 'Supported',All claims in the report are supported by the provided reason.,Contradiction,None,None,None,2,True,Faithful
news-54494037,মার্কিন প্রেসিডেন্ট প্রার্থী জো বাইডেনের বিরুদ্ধে শিশু পাচারের অভিযোগ আনা হয়েছে। এর ফলে যুক্তরাষ্ট্রে নতুন একটি ষড়যন্ত্র তত্ত্ব ছড়াচ্ছে।,"The article does not mention Joe Biden being accused of child trafficking, contradicting the claim.",All claims have a 'Supported' status.,Both claims are supported by their respective reasons.,Contradiction,None,None,None,2,True,Faithful
news-57127385,বাংলাদেশে করোনাভাইরাসে আক্রান্ত হয়ে গত ২৪ ঘণ্টায় ২২ জন মারা গেছেন।,"The article does not provide the exact number of deaths in the past 24 hours, only mentioning an increase of 22 people, which does not support the claim.",The reported number of deaths (22) does not match the number stated in the text (17 men + 5 women = 22).,"The claim states 22 people died, but the report specifies 17 men and 5 women, totaling 22, yet the text does not support this exact number.",Number,Number,Number,Number,0,False,Hallucinated
news-55728745,যুক্তরাষ্ট্রে চার বছরের মেয়াদ শেষে বিদায় নিচ্ছেন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-43170672,"আফগানিস্তানের বর্তমান বাসিন্দা নারীরা যদি ঘরের বাইরে ফুটবল খেলেন, তাহলে তাদের মাথার ওপর ঝুলছে নানা ধরনের সহিংসতার হুমকি।",,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-44588536,বাংলাদেশ থেকে মালয়েশিয়ায় শ্রমিক পাঠানোর ব্যবস্থা স্থগিত করেছে দেশটির সরকার।,,"The claim attributes the suspension to the Bangladeshi government, while the article states it was the Malaysian government.","The report indicates that the claim is not supported because the text only mentions changes in the process and involvement of specific agencies, without explicitly stating that the arrangement has been suspended.",None,Entity,Other,Entity,1,False,Hallucinated
news-41079116,ভারতের বিতর্কিত ধর্মীয় গুরু গুরমিত রাম রহিম সিং-কে ২০ বছরের সাজা দিয়েছে দেশটির আদালত।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-45298569,আমেরিকায় একটি রেস্তোঁরা ভবনে অবৈধ মাদক পাচারের অভিযোগ উঠেছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-56660057,"বাংলাদেশে পুলিশের বিশেষ বাহিনী র ্যাব জানিয়েছে, হেফাজতে ইসলামের সাবেক নেতা মোহাম্মদ মামুনুলকে আটক করেছে।",The text does not mention the arrest of Mohammad Mamunul by the police special force in Bangladesh.,The report states that the text does not mention the arrest of Muhammad Mamunul.,The report does not support the claim about a special police unit in Bangladesh arresting former Hefazat leader Muhammad Mamun. It only states that he was arrested during protests.,Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-40846970,ভারতীয় বেশির ভাগ বিবাহিত নারী স্বামীর নাম ধরেই ডাকেন।,The text does not support the claim that most Indian women are married to men with the same name.,"The claim states that most married women in India address their husbands by their name, but the report states the opposite.",All claims are supported.,Not Supported,Contradiction,None,Contradiction,1,False,Hallucinated
news-55201330,বাংলাদেশের কক্সবাজারের ভাসানচরে অবস্থানরত রোহিঙ্গাদের শরীরের তাপমাত্রা পরীক্ষা ও হাত ধোয়ানো শেষে তাদের খাবার সরবরাহ করা হয়েছে।,,All claims have a status of 'Supported',The report lacks information about the provision of food to the refugees and the accuracy of the body temperature measurements and hand washing procedures.,None,None,Missing Info,None,2,True,Faithful
news-53707384,"বিজ্ঞানীরা বলছেন, প্রাকৃতিক ভূমি ধ্বংস করার ফলে মানুষের শরীরে রোগ বালাই ছড়িয়ে পড়ার ঝুঁকি অনেক বেশি।",,All claims are marked as 'Supported',All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-48917846,নতুন একটি পদ্ধতি ব্যবহার করে যাত্রীবাহী বিমানের রানওয়ে চিহ্নিত করার উদ্যোগ নিয়েছে ব্রাউনশভাইক এবং মিউনিখের গবেষকরা।,,All claims are marked as 'Supported',All claims are supported.,None,None,None,None,3,True,Faithful
news-41662162,হিন্দুদের উৎসব দীপাবলি বা দেওয়ালীর সন্ধ্যাবেলায় বাজি পোড়ানোর বিধান নেই বলে মন্তব্য করেছেন ভারতের রাজ্যপাল রামমোহন রায়।,"The report claims that burning effigies is not supported, but the provided reason suggests that it is actually a part of the Durga Puja festival.","The claim states Hindus are not allowed to burn fireworks in the evening of Diwali, but the report states they do burn fireworks in the evening of Diwali.","The entity mentioned in the claim, Ram Mohan Roy, is incorrectly linked to the discussion about Diwali traditions, which actually pertains to Tripura's state governor.",Contradiction,Contradiction,Entity,Contradiction,0,False,Hallucinated
news-49843290,বাংলাদেশে ক্ষমতাসীন আওয়ামী লীগের বেশ কয়েকজন নেতার বাড়ি থেকে বিপুল পরিমাণ অর্থ উদ্ধার করেছে পুলিশ।,The text does not explicitly state that leaders of the Awami League have recovered a large amount of money from their homes.,All claims are supported.,All claims are supported and there is no contradiction or missing information.,Contradiction,None,None,None,2,True,Faithful
news-44952782,বিজ্ঞানীরা মঙ্গলগ্রহের বরফের নীচে আচ্ছাদিত একটি স্থায়ী জলাধারের সন্ধান পেয়েছেন।,The text does not explicitly state that a permanent lake of water has been found on Mars.,All claims are supported.,"The report mentions a discovery related to Mars' moon, Phobos, instead of Mars itself, which contradicts the claim about discovering a permanent water body under the ice on Mars.",Not Supported,None,Entity,Entity,1,False,Hallucinated
news-44640577,বিশ্বকাপের গ্রুপপর্ব থেকে বিদায় নিয়েছে দক্ষিণ কোরিয়া।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-44948841,বাংলাদেশে ক্ষমতাসীন আওয়ামী লীগ নেতৃত্বাধীন বাম গণতান্ত্রিক জোট সিপিবির সভাপতি ও সাধারণ সম্পাদক ওবায়দুল কাদেরর ফোনে কথাবার্তা হয়েছে।,"The text does not explicitly state that Awami League is led by Obaidul Quader, the chairman and general secretary of the Leftist Democratic Alliance CPI.",All claims are supported.,The report does not support the claim about a phone conversation between the chairman and general secretary of the left-wing Ganatantrik Jot CPI led by the Bangladesh Awami League.,Contradiction,None,Entity,Contradiction,1,False,Hallucinated
news-46614409,আফগানিস্তানে এক ব্যক্তির কারাদণ্ডের মেয়াদ শেষ হওয়ার পর তাকে পাকিস্তানে ফিরিয়ে আনা হয়েছে।,,The report contains conflicting information about the person's return location after their sentence ended.,The report does not support the claim that the person was sent back to Pakistan from Afghanistan; it only states that the person went to Pakistan after their sentence ended.,None,Other,Entity,Entity,1,False,Hallucinated
news-47207508,ভারতের রাজধানী দিল্লির একটি জনবহুল এলাকায় হোটেলে আগুন লেগে অন্তত ১৭ জনের মৃত্যু হয়েছে।,,The claim about the number of deaths is not supported by the provided reason.,Both claims are supported by the provided reasons.,None,Number,None,None,2,True,Faithful
news-48436492,"ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদী বলেছেন, সংখ্যালঘু মুসলিমদের একেবারেই বিশ্বাস করতে পারেনি বিজেপি।","The BJP has had Muslim MPs, such as Shahid Siddiqui, who was elected in 1989.",The report states that the claim does not accurately reflect the text provided.,"The report contradicts itself by stating that the BJP has not nominated any Muslim candidates for Parliament, but the article mentions they did nominate some.",Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-49888740,বাংলাদেশের খুলনার শিরোমনি এলাকায় আওয়ামী লীগের কার্যালয়ে বোমা বিস্ফোরিত হয়েছে।,,All claims are supported.,"The report mentions a bomb explosion near a local government office and protests by Awami League leaders but does not support the specific claim about the explosion at the headquarters of the Awami League in Shirobono area, Khulna.",None,None,Entity,None,2,True,Faithful
news-48881058,মহাশূণ্যে একটি চায়ের কেটলি ভেসে বেড়াচ্ছে- এটা কি কল্পনা করতে পারেন?,"The report does not mention a cat growing in the Mahashunya forest, which is the specific claim being verified.",All claims are supported.,All claims are supported by the provided reason.,Missing Info,None,None,None,2,True,Faithful
news-48671908,বাংলাদেশের বিপক্ষে ওয়েস্ট ইন্ডিজকে হারানোর পর থেকেই বেশ কয়েকটি প্রশংসা করা হয়েছে।,The text does not mention West Indies being praised since Bangladesh lost to them.,All claims are supported.,The report contradicts itself by stating that West Indies was praised after defeating Bangladesh when the article actually indicates that Bangladesh was praised for their performance.,Contradiction,None,Contradiction,Contradiction,1,False,Hallucinated
news-48556580,ইংল্যান্ডের বিপক্ষে ম্যাচে বাংলাদেশের কোচ হয়ে নিজেকে কী করে শান্ত রাখবেন স্টিভ রোডস?,The article does not explicitly state that the coach will keep himself calm in the match against England.,All claims are supported.,All claims are supported.,Missing Info,None,None,None,2,True,Faithful
